id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
SNB-11WSNB-10TSNB-9ASNB-7FSNB-6L,"11 I. Washington, 10 S. Thompson, 9 M. Amini, 7 C. Frisch, 6 A. Labanca",0,52:10,123,113,89,46,62,37,59.7,27,9,33.3,16,12,75.0,42,13,29,23,8,15,18,131,113,98,46,59,34,57.6,39,12,30.8,11,9,81.8,41,12,29,32,9,11,22,SLUC Nancy Basket,Betclic Elite,11 I. Washington,10 S. Thompson,9 M. Amini,7 C. Frisch,6 A. Labanca,SNB-11W,SNB-10T,SNB-9A,SNB-7F,SNB-6L,3130.0,91.869918699187,86.25954198473282,5.610376714454176,94.31309904153355,100.44728434504792,-6.134185303514371,58.82965431070387,54.93971217425126,3.8899421364526106,117.65930862140775,109.87942434850252,7.779884272905221
SNB-3CSNB-10TSNB-7FSNB-6LSNB-5W,"3 C. Clemons, 10 S. Thompson, 7 C. Frisch, 6 A. Labanca, 5 C. Walker",5,25:03,63,56,40,20,18,11,61.1,22,9,40.9,10,7,70.0,14,6,8,15,8,13,9,58,51,38,21,20,15,75.0,18,6,33.3,3,3,100.0,15,4,11,13,5,12,11,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,7 C. Frisch,6 A. Labanca,5 C. Walker,SNB-3C,SNB-10T,SNB-7F,SNB-6L,SNB-5W,1503.0,88.88888888888889,87.93103448275862,0.9578544061302665,100.59880239520957,92.61477045908184,7.984031936127735,63.06306306306306,64.85249237029501,-1.7894293072319485,126.12612612612612,129.70498474059002,-3.578858614463897
SNB-3CSNB-11WSNB-10TSNB-7FSNB-5W,"3 C. Clemons, 11 I. Washington, 10 S. Thompson, 7 C. Frisch, 5 C. Walker",18,22:20,54,60,36,21,20,13,65.0,16,8,50.0,13,10,76.9,19,4,15,13,1,6,13,54,42,34,12,16,6,37.5,18,6,33.3,17,12,70.6,15,4,11,8,2,6,10,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,11 I. Washington,10 S. Thompson,7 C. Frisch,5 C. Walker,SNB-3C,SNB-11W,SNB-10T,SNB-7F,SNB-5W,1340.0,111.11111111111111,77.77777777777779,33.33333333333333,96.71641791044776,96.71641791044776,0.0,71.90795781399808,50.62680810028929,21.281149713708793,143.81591562799616,101.25361620057858,42.562299427417585
SNB-3CSNB-11WSNB-10TSNB-7FSNB-6L,"3 C. Clemons, 11 I. Washington, 10 S. Thompson, 7 C. Frisch, 6 A. Labanca",-7,21:14,53,41,35,14,24,13,54.2,11,1,9.1,16,12,75.0,18,5,13,10,4,4,3,51,48,39,19,24,11,45.8,15,8,53.3,2,2,100.0,23,5,18,11,1,9,14,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,11 I. Washington,10 S. Thompson,7 C. Frisch,6 A. Labanca,SNB-3C,SNB-11W,SNB-10T,SNB-7F,SNB-6L,1274.0,77.35849056603774,94.11764705882352,-16.759156492785777,99.84301412872841,96.07535321821035,3.7676609105180603,48.76308277830638,60.180541624874614,-11.417458846568238,97.52616555661275,120.36108324974923,-22.834917693136475
SNB-3CSNB-10TSNB-7FSNB-2GSNB-5W,"3 C. Clemons, 10 S. Thompson, 7 C. Frisch, 2 M. Gauzin, 5 C. Walker",7,19:19,47,48,37,17,29,12,41.4,8,5,62.5,11,9,81.8,17,5,12,10,3,2,6,54,41,39,14,24,11,45.8,15,3,20.0,11,10,90.9,24,9,15,10,2,7,10,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,7 C. Frisch,2 M. Gauzin,5 C. Walker,SNB-3C,SNB-10T,SNB-7F,SNB-2G,SNB-5W,1159.0,102.12765957446808,75.92592592592592,26.20173364854216,97.32528041415013,111.82053494391717,-14.495254529767038,57.36137667304014,46.76094890510949,10.600427767930654,114.72275334608028,93.52189781021897,21.200855535861308
SNB-3CSNB-10TSNB-9ASNB-7FSNB-6L,"3 C. Clemons, 10 S. Thompson, 9 M. Amini, 7 C. Frisch, 6 A. Labanca",7,18:10,44,41,26,14,17,12,70.6,9,2,22.2,12,11,91.7,12,2,10,4,5,5,9,50,34,29,14,17,11,64.7,12,3,25.0,4,3,75.0,13,5,8,10,2,10,12,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,9 M. Amini,7 C. Frisch,6 A. Labanca,SNB-3C,SNB-10T,SNB-9A,SNB-7F,SNB-6L,1090.0,93.18181818181817,68.0,25.181818181818173,96.88073394495413,110.09174311926606,-13.211009174311926,65.53708439897697,55.266579973992194,10.270504424984779,131.07416879795394,110.53315994798439,20.541008849969558
SNB-10TSNB-7FSNB-6LSNB-2GSNB-5W,"10 S. Thompson, 7 C. Frisch, 6 A. Labanca, 2 M. Gauzin, 5 C. Walker",9,16:16,42,41,26,16,17,11,64.7,9,5,55.6,7,4,57.1,14,4,10,10,5,6,1,35,32,27,15,20,13,65.0,7,2,28.6,2,0,0.0,9,2,7,3,5,6,7,SLUC Nancy Basket,Betclic Elite,10 S. Thompson,7 C. Frisch,6 A. Labanca,2 M. Gauzin,5 C. Walker,SNB-10T,SNB-7F,SNB-6L,SNB-2G,SNB-5W,976.0,97.61904761904762,91.42857142857143,6.19047619047619,103.27868852459017,86.0655737704918,17.21311475409837,70.49518569463548,57.388809182209464,13.106376512426017,140.99037138927096,114.77761836441893,26.212753024852034
SNB-3CSNB-10TSNB-7FSNB-12PSNB-5W,"3 C. Clemons, 10 S. Thompson, 7 C. Frisch, 12 Z. Perrin, 5 C. Walker",0,15:42,43,36,32,15,17,11,64.7,15,4,26.7,7,2,28.6,19,6,13,7,2,5,6,40,36,27,12,14,7,50.0,13,5,38.5,8,7,87.5,16,4,12,7,5,4,6,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,7 C. Frisch,12 Z. Perrin,5 C. Walker,SNB-3C,SNB-10T,SNB-7F,SNB-12P,SNB-5W,942.0,83.72093023255815,90.0,-6.279069767441854,109.55414012738852,101.9108280254777,7.643312101910823,51.31128848346636,58.97771952817824,-7.666431044711878,102.62257696693273,117.95543905635648,-15.332862089423756
SNB-11WSNB-10TSNB-7FSNB-6LSNB-5W,"11 I. Washington, 10 S. Thompson, 7 C. Frisch, 6 A. Labanca, 5 C. Walker",-8,13:05,29,24,20,10,12,6,50.0,8,4,50.0,0,0,0.0,7,1,6,7,4,4,9,36,32,19,9,9,3,33.3,10,6,60.0,9,8,88.9,13,4,9,5,2,6,1,SLUC Nancy Basket,Betclic Elite,11 I. Washington,10 S. Thompson,7 C. Frisch,6 A. Labanca,5 C. Walker,SNB-11W,SNB-10T,SNB-7F,SNB-6L,SNB-5W,785.0,82.75862068965517,88.88888888888889,-6.130268199233711,88.6624203821656,110.06369426751591,-21.401273885350307,60.0,69.68641114982577,-9.686411149825773,120.0,139.37282229965155,-19.372822299651546
SNB-3CSNB-10TSNB-7FSNB-6LSNB-2G,"3 C. Clemons, 10 S. Thompson, 7 C. Frisch, 6 A. Labanca, 2 M. Gauzin",-1,12:46,32,23,24,10,14,8,57.1,10,2,20.0,1,1,100.0,9,1,8,6,4,3,6,32,24,21,10,16,7,43.8,5,3,60.0,2,1,50.0,11,2,9,6,1,4,5,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,7 C. Frisch,6 A. Labanca,2 M. Gauzin,SNB-3C,SNB-10T,SNB-7F,SNB-6L,SNB-2G,766.0,71.875,75.0,-3.125,100.26109660574413,100.26109660574413,0.0,47.05400981996726,54.84460694698355,-7.790597127016291,94.10801963993453,109.6892138939671,-15.581194254032582
SNB-3CSNB-11WSNB-10TSNB-9ASNB-7F,"3 C. Clemons, 11 I. Washington, 10 S. Thompson, 9 M. Amini, 7 C. Frisch",7,12:20,27,31,20,12,9,6,66.7,11,6,54.5,2,1,50.0,8,0,8,7,3,4,5,31,24,20,10,12,8,66.7,8,2,25.0,2,2,100.0,9,1,8,5,4,5,2,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,11 I. Washington,10 S. Thompson,9 M. Amini,7 C. Frisch,SNB-3C,SNB-11W,SNB-10T,SNB-9A,SNB-7F,740.0,114.81481481481481,77.41935483870968,37.39545997610513,87.56756756756758,100.54054054054055,-12.972972972972968,74.23371647509579,57.4712643678161,16.762452107279692,148.46743295019158,114.9425287356322,33.524904214559385
SNB-3CSNB-10TSNB-2GSNB-12PSNB-5W,"3 C. Clemons, 10 S. Thompson, 2 M. Gauzin, 12 Z. Perrin, 5 C. Walker",-1,12:12,29,27,22,11,12,7,58.3,10,4,40.0,3,1,33.3,5,2,3,5,1,4,8,29,28,18,10,11,7,63.6,7,3,42.9,7,5,71.4,10,3,7,6,2,1,2,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,2 M. Gauzin,12 Z. Perrin,5 C. Walker,SNB-3C,SNB-10T,SNB-2G,SNB-12P,SNB-5W,732.0,93.10344827586206,96.55172413793103,-3.448275862068968,95.08196721311477,95.08196721311477,0.0,57.89022298456261,66.41366223908919,-8.52343925452658,115.78044596912522,132.82732447817838,-17.04687850905316
SNB-3CSNB-10TSNB-9ASNB-12PSNB-5W,"3 C. Clemons, 10 S. Thompson, 9 M. Amini, 12 Z. Perrin, 5 C. Walker",5,10:14,27,20,15,8,7,5,71.4,8,3,37.5,3,1,33.3,5,0,5,5,4,5,5,25,15,13,4,7,3,42.9,6,1,16.7,6,6,100.0,7,2,5,4,2,7,6,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,9 M. Amini,12 Z. Perrin,5 C. Walker,SNB-3C,SNB-10T,SNB-9A,SNB-12P,SNB-5W,614.0,74.07407407407408,60.0,14.074074074074076,105.53745928338762,97.71986970684038,7.817589576547235,61.274509803921575,47.9539641943734,13.320545609548176,122.54901960784315,95.9079283887468,26.641091219096353
SNB-3CSNB-10TSNB-6LSNB-12PSNB-5W,"3 C. Clemons, 10 S. Thompson, 6 A. Labanca, 12 Z. Perrin, 5 C. Walker",-1,10:06,20,24,12,7,7,4,57.1,5,3,60.0,8,7,87.5,6,0,6,7,0,1,5,22,25,17,10,9,7,77.8,8,3,37.5,2,2,100.0,6,1,5,6,0,2,5,SLUC Nancy Basket,Betclic Elite,3 C. Clemons,10 S. Thompson,6 A. Labanca,12 Z. Perrin,5 C. Walker,SNB-3C,SNB-10T,SNB-6L,SNB-12P,SNB-5W,606.0,120.0,113.63636363636364,6.36363636363636,79.20792079207921,87.12871287128714,-7.920792079207928,77.31958762886599,69.91051454138703,7.4090730874789585,154.63917525773198,139.82102908277406,14.818146174957917
